order_id,order_ts,region,category,customer_id,units,unit_price,discount,shipping_cost
240000,2026-02-05 16:22:23,Centro,Moda,16124,1,198.8,0.15,2.78
240001,2026-01-23 11:14:33,Centro,Moda,22401,4,245.23,0.0,2.78
240002,2026-02-15 19:41:30,Occidente,Deportes,16849,5,151.55,0.15,12.58
240003,2026-01-22 01:46:48,Norte,Moda,36360,5,21.96,0.0,12.32
240004,2026-02-22 18:50:37,Norte,Deportes,12419,1,98.29,0.1,5.07
240005,2026-02-14 02:37:08,Occidente,Tecnologia,25433,3,383.98,0.0,3.41
240006,2026-02-06 02:24:43,Centro,Hogar,18104,7,127.45,0.15,7.85
240007,2026-01-23 23:31:14,Centro,Moda,33636,5,310.28,0.15,8.5
240008,2026-02-15 04:11:56,Norte,Moda,28212,3,400.64,0.05,10.76
240009,2026-01-20 21:22:39,Sur,Hogar,31584,3,76.71,0.1,7.91
240010,2026-01-04 11:36:12,Centro,Tecnologia,14324,1,368.66,0.1,3.36
240011,2026-02-02 17:43:50,Norte,Hogar,24188,4,329.73,0.1,15.42
240012,2026-01-22 04:00:49,Norte,Hogar,38623,2,183.32,0.05,4.58
240013,2026-01-12 01:06:04,Occidente,Hogar,36787,6,76.97,0.0,13.1
240014,2026-02-20 06:25:05,Occidente,Hogar,19973,6,272.98,0.0,4.42
240015,2026-01-08 01:25:39,Centro,Moda,27774,4,256.96,0.0,14.94
240016,2026-02-16 17:21:02,Sur,Hogar,25242,3,245.39,0.0,4.98
240017,2026-02-19 13:56:07,Sur,Deportes,16782,2,282.02,0.05,16.86
240018,2026-02-23 17:41:24,Occidente,Deportes,10082,5,340.51,0.0,11.03
240019,2026-01-24 18:13:23,Norte,Hogar,10315,2,57.18,0.05,15.18
240020,2026-01-28 16:58:40,Centro,Hogar,10908,1,410.23,0.15,5.09
240021,2026-02-24 19:15:13,Occidente,Hogar,23986,6,260.93,0.1,10.75
240022,2026-01-11 10:37:11,Occidente,Hogar,33632,4,26.68,0.15,11.31
240023,2026-01-21 12:38:42,Norte,Tecnologia,26169,6,167.75,0.1,12.12
240024,2026-02-22 02:52:00,Sur,Tecnologia,20619,5,142.86,0.0,3.91
240025,2026-01-22 14:11:25,Sur,Deportes,39893,1,426.58,0.15,13.66
240026,2026-02-03 00:35:22,Norte,Deportes,20168,1,258.64,0.0,7.73
240027,2026-02-28 09:29:23,Sur,Moda,6881,3,135.38,0.0,2.4
240028,2026-01-28 01:20:17,Norte,Tecnologia,6833,6,332.45,0.0,15.1
240029,2026-01-17 16:50:11,Centro,Hogar,8765,2,37.74,0.0,5.37
240030,2026-02-09 21:31:59,Centro,Hogar,6793,4,242.06,0.15,11.63
240031,2026-01-02 21:24:44,Centro,Hogar,25241,3,332.37,0.15,9.93
240032,2026-01-05 14:40:58,Centro,Deportes,27639,4,393.62,0.05,14.53
240033,2026-01-01 04:00:03,Centro,Tecnologia,29725,7,410.65,0.2,2.46
240034,2026-01-18 03:54:35,Occidente,Moda,20075,1,393.72,0.0,10.63
240035,2026-02-18 05:01:40,Centro,Tecnologia,19661,1,9.7,0.1,17.9
240036,2026-02-14 11:35:05,Centro,Deportes,33418,7,336.58,0.1,16.73
240037,2026-01-09 12:04:01,Norte,Moda,34788,7,289.6,0.1,9.05
240038,2026-02-07 12:41:43,Occidente,Deportes,35277,5,85.45,0.1,10.39
240039,2026-01-10 02:37:52,Occidente,Deportes,27235,2,45.98,0.2,12.66
240040,2026-01-22 05:34:51,Sur,Hogar,22119,5,336.46,0.0,12.56
240041,2026-01-15 21:11:42,Sur,Tecnologia,36704,5,367.34,0.1,12.19
240042,2026-01-08 09:48:05,Occidente,Deportes,1684,4,34.81,0.05,9.63
240043,2026-02-14 16:26:37,Centro,Tecnologia,33257,4,85.56,0.05,5.51
240044,2026-01-21 16:53:03,Sur,Tecnologia,34854,4,165.48,0.15,10.71
240045,2026-01-20 15:07:11,Centro,Moda,35140,3,425.27,0.0,6.27
240046,2026-02-19 17:23:16,Centro,Moda,10385,7,129.62,0.1,3.58
240047,2026-01-02 06:55:21,Sur,Tecnologia,15111,2,308.23,0.1,11.57
240048,2026-01-22 00:09:57,Norte,Moda,29239,4,73.69,0.05,11.29
240049,2026-01-05 10:08:26,Norte,Deportes,34540,4,354.65,0.0,8.55
240050,2026-01-21 03:56:15,Norte,Moda,33501,6,163.55,0.2,14.28
240051,2026-02-05 01:43:45,Sur,Hogar,28161,1,244.27,0.1,15.21
240052,2026-01-29 04:04:25,Norte,Tecnologia,38341,6,278.33,0.0,5.58
240053,2026-01-02 09:38:34,Occidente,Hogar,6126,1,93.19,0.0,9.8
240054,2026-02-20 16:48:49,Sur,Tecnologia,24484,5,309.14,0.0,4.45
240055,2026-01-14 22:11:27,Occidente,Tecnologia,17958,4,331.71,0.0,9.85
240056,2026-02-16 21:09:55,Centro,Deportes,1655,2,248.13,0.05,16.19
240057,2026-01-08 21:22:10,Occidente,Hogar,30850,4,263.06,0.0,13.14
240058,2026-01-28 23:02:47,Occidente,Deportes,37194,5,17.13,0.15,5.53
240059,2026-01-13 11:30:12,Occidente,Tecnologia,8935,7,386.46,0.1,3.93
240060,2026-01-16 16:30:49,Centro,Hogar,7110,1,209.51,0.1,3.38
240061,2026-02-12 05:21:49,Sur,Tecnologia,20522,4,214.11,0.2,5.27
240062,2026-02-20 03:44:15,Sur,Tecnologia,24413,1,252.83,0.1,5.11
240063,2026-02-24 16:24:47,Sur,Deportes,25418,5,415.56,0.15,9.4
240064,2026-01-27 00:42:30,Occidente,Deportes,6062,3,209.01,0.15,7.73
240065,2026-01-15 13:20:32,Centro,Hogar,8731,5,420.48,0.15,7.59
240066,2026-01-13 12:50:51,Occidente,Tecnologia,39122,7,221.32,0.0,16.56
240067,2026-01-24 21:17:26,Centro,Tecnologia,7962,2,22.29,0.0,12.61
240068,2026-01-17 02:16:39,Centro,Tecnologia,32177,2,379.45,0.0,7.41
240069,2026-02-05 16:03:32,Sur,Moda,28460,4,70.77,0.0,15.94
240070,2026-01-21 19:21:27,Centro,Tecnologia,25135,3,235.38,0.0,8.15
240071,2026-01-08 22:16:36,Centro,Tecnologia,11251,1,55.31,0.15,4.03
240072,2026-02-03 06:06:22,Sur,Deportes,14250,1,168.12,0.0,11.77
240073,2026-01-18 19:09:08,Centro,Deportes,19041,5,444.33,0.0,3.4
240074,2026-02-25 01:52:58,Sur,Hogar,11090,7,317.26,0.0,8.74
240075,2026-02-14 02:23:32,Occidente,Hogar,5199,1,102.0,0.1,15.44
240076,2026-02-25 16:55:41,Centro,Tecnologia,34945,3,37.41,0.15,6.03
240077,2026-01-25 08:20:44,Centro,Deportes,36418,1,169.02,0.15,17.11
240078,2026-01-06 16:20:02,Sur,Deportes,24180,3,432.18,0.0,1.06
240079,2026-01-21 11:51:18,Sur,Deportes,13221,4,199.63,0.0,1.78
240080,2026-01-29 03:08:40,Sur,Deportes,25706,1,142.54,0.0,2.32
240081,2026-02-03 06:02:25,Occidente,Tecnologia,18188,5,129.43,0.05,9.39
240082,2026-01-31 22:51:35,Centro,Tecnologia,13147,4,214.62,0.2,6.24
240083,2026-01-28 13:41:43,Occidente,Hogar,17117,3,58.8,0.15,5.02
240084,2026-01-31 23:32:38,Centro,Tecnologia,4340,7,413.06,0.0,17.35
240085,2026-02-21 04:47:51,Occidente,Hogar,30793,5,209.77,0.0,12.53
